1,61,r
1,48,S
4,52,S
5,63,S
8,54,M
9,56,M
10,57,r
13,60,S
14,52,r
14,53,S
16,48,M
17,52,M
18,57,M
27,62,S
30,56,S
31,49,S
33,52,M
34,59,M
35,56,r
37,50,S
38,56,S
41,56,M
42,52,M
43,57,r
46,57,S
50,53,M
51,62,M
52,54,r
55,54,S
56,58,r
56,55,S
59,53,M
60,54,M
63,58,S
64,53,S
65,57,r
65,54,S
67,53,M
68,48,S
69,52,r
69,51,S
71,52,M
72,58,M
73,55,M
76,53,S
77,53,S
80,49,M
81,55,M
84,54,S
85,52,S
88,54,M
89,53,M
90,56,r
93,53,S
94,60,r
94,55,S
96,55,M
97,54,M
98,51,r
101,53,S
102,54,S
105,54,M
106,56,M
107,56,r
110,49,S
111,47,S
114,54,M
115,50,M
116,56,r
119,55,S
120,53,r
120,52,S
122,57,M
123,51,M
124,52,M
127,54,S
128,50,S
131,57,M
132,55,M
133,51,r
136,55,S
137,59,S
140,58,S
141,51,S
142,52,r
142,54,S
144,54,M
145,51,M
146,54,r
149,51,S
150,55,r
150,52,S
153,51,S
153,49,M
154,54,S
155,60,r
155,56,S
157,53,M
158,54,S
159,53,S
162,54,M
163,54,S
164,52,r
164,52,S
166,49,M
167,57,S
168,57,S
171,54,S
171,53,M
172,54,S
173,55,r
173,54,S
176,58,S
177,55,r
177,54,S
180,52,S
181,57,r
181,54,S
184,54,S
188,52,S
189,53,S
190,56,r
190,57,S
192,53,M
193,53,M
194,57,M
195,54,r
198,47,S
199,54,r
199,48,S
201,58,M
202,54,M
203,56,M
204,51,r
206,51,S
207,57,S
208,62,r
208,57,S
210,48,M
211,58,M
212,55,r
215,56,S
216,52,S
219,56,S
220,57,S
221,53,r
221,52,S
223,53,M
224,54,M
225,50,M
226,58,r
229,51,S
230,53,r
230,48,S
233,55,S
234,57,S
237,52,M
238,52,M
239,55,r
242,52,S
243,54,r
243,49,S
246,48,S
247,52,S
248,57,r
248,52,S
250,46,M
251,50,M
252,49,r
255,51,S
256,56,S
259,53,M
260,57,M
261,55,r
263,53,S
264,59,S
265,52,r
265,53,S
267,53,M
268,52,M
269,59,M
