0,9615,r
0,89,S
1,236,r
1,208,M
2,244,r
2,206,S
2,236,M
3,248,r
3,349,S
3,256,M
4,248,r
4,213,S
5,240,r
5,217,S
6,242,S
7,240,r
7,225,S
7,214,M
8,240,r
8,214,M
9,240,r
9,216,M
10,244,r
10,242,M
11,238,r
11,250,S
11,244,M
12,244,r
12,240,S
12,220,M
13,252,r
13,246,S
14,242,r
14,242,S
15,244,S
16,242,r
16,248,S
16,226,M
17,254,r
17,119,S
17,208,M
18,250,r
18,228,M
19,249,r
19,242,M
20,1252,r
20,246,S
20,246,M
21,244,r
21,242,S
22,249,r
22,242,S
23,950,r
23,2414,S
24,1581,r
24,2442,S
24,2377,M
25,2001,r
25,384,M
26,1363,r
26,2418,S
27,1726,r
27,2513,S
28,1664,r
28,2520,S
28,767,M
29,1163,r
29,2358,M
30,1795,r
30,2426,S
31,1861,r
31,2422,S
32,216,r
32,1514,S
32,393,M
33,1081,r
33,371,M
34,1844,r
34,2246,M
35,1579,r
35,2420,S
36,1795,r
36,740,S
37,293,r
37,622,S
38,383,r
38,1243,S
38,1243,M
39,246,r
39,242,M
40,242,r
40,212,M
41,245,M
42,248,r
42,242,S
42,242,M
43,1077,r
43,238,S
44,238,r
44,242,S
45,246,S
46,240,r
46,234,S
46,242,M
47,246,r
47,246,S
47,240,M
48,244,r
48,246,M
49,250,r
49,212,M
50,240,S
50,248,M
51,238,r
51,236,S
51,242,M
52,246,r
52,246,S
53,246,r
53,242,S
54,67,r
54,242,S
55,240,r
55,236,S
55,240,M
56,244,r
56,244,S
56,240,M
57,242,r
57,246,M
58,240,r
58,214,M
59,240,r
59,242,S
59,244,M
60,242,r
60,234,S
60,244,M
61,240,r
61,244,S
62,244,r
62,246,S
63,238,S
64,240,r
64,234,S
64,240,M
65,211,r
65,215,M
66,238,r
66,242,M
67,242,r
67,234,M
68,355,S
68,258,M
69,236,r
69,246,S
69,240,M
70,250,r
70,236,S
71,248,r
71,248,S
72,244,S
73,246,r
73,250,S
73,250,M
74,244,r
74,242,S
74,236,M
75,252,r
75,347,M
76,246,r
76,228,M
77,248,r
77,218,S
77,244,M
78,248,r
78,210,S
78,1253,M
79,244,r
79,212,S
80,244,r
80,222,S
81,242,S
82,242,r
82,236,S
82,246,M
83,240,r
83,214,M
84,647,r
84,204,M
85,234,r
85,234,M
86,242,r
86,238,S
86,236,M
87,240,r
87,236,S
87,260,M
88,246,r
88,234,M
89,242,r
89,242,M
90,212,S
90,220,M
91,238,r
91,212,S
91,246,M
92,250,r
92,206,S
93,238,r
93,246,S
94,260,r
94,244,S
95,242,r
95,234,S
95,242,M
96,244,r
96,244,S
96,236,M
97,244,r
97,252,M
98,246,r
98,222,M
99,240,S
99,222,M
100,236,r
100,240,S
100,210,M
101,244,r
102,244,r
102,246,M
103,256,M
104,238,r
104,244,S
104,248,M
105,242,r
105,236,S
106,240,r
106,218,M
107,240,r
107,213,M
108,244,S
108,234,M
109,238,r
109,246,S
109,343,M
110,244,r
110,214,M
111,246,r
111,250,M
112,252,M
113,238,r
113,238,S
113,206,M
114,242,r
114,244,S
115,240,r
115,244,S
116,244,r
116,236,S
117,240,S
118,238,r
118,234,S
118,252,M
119,230,r
119,242,M
120,242,r
120,203,M
121,242,r
121,252,M
122,248,r
122,246,S
122,242,M
123,238,r
123,240,S
123,240,M
124,256,r
124,244,M
